№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
418,яркий, красивый, хороший,Социологический факультет,7,3,  -, -,1,знакомый,4,2,3,6,7,собственное решение,РГГУ,"журналистика, филология",2,6, -, -,1, -, -,56,95,66,80,53,3,2,3,2,1,2,1,1,3,5,9,,журналистика,,1,2,17,2,1,-,-,4,4,-,-,-,6,2,английский,немецкий,-,7
419,перспективный, интересный, тяжелый,Факультет глобальных процессов,6,5,  -, -,1,знакомый,4,2,3,6,7,собственное решение,РГГУ,институт лингвистики,6, -, -, -, -,МГУ ВМК, -,70,92,66,97,91,3,2,5,5,3,1,4,2,5,5,8,,лингвистика,,2,3,18,2,1,-,-,4,4,-,-,-,7,2,английский,немецкий,-,7
420,дорогой, престижный, трудно поступить,Факультет государственного управления,7,3,  -,высша школа перевода,2,  -,  -,2,7,  -,  -,сама,МГЛУ, -,1,2,5, -,"1, 2", -, -,55,95,56,85,71,4,2,4,2,4,2,3,2,5,3,9,,,,1,2,16,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
421,интересный, лучший, перспективный,Экономический факультет,6,1,  -, -,2,  -,  -,1,  -,  -,  -,сама,ФА,экономики,1, -, -, -,7, -, -,79,86,93,66,89,2,3,3,1,1,1,4,3,1, -,1,,,,2,2,16,1,1,-,-,5,5,-,-,-,5,1,английский,-,-,3
422,Престижный,интересный,дорогой,Экономический факультет,6,6,  -,филологический,2,  -,  -,1,2,  -,  -, -,ВШЭ,медиакоммуникаций,2, -, -, -,5, -, -,45,90,62,74,58,1,3,4,4,4,1,3,1,5,2,6,Комерсант,корреспондент,,3,3,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
423,Интеллектуальный, интересный, заставляющий думать,Философский факультет,10,5,  -,мировой политики,2,  -,  -,4,1,  -,  -, -,РГГУ, -,1,3,5, -,1,МГУ, -,32,67,55,72,83,5,1,5,2,1,1,3,4,1,2,9,,бизнес,общительность,1,1,17,2,2,-,-,4,4,-,-,-,5,1,английский,-,-,2
424,интересный, доступный, привлекательный,Высшая школа бизнеса (факультет),5,1,  -, -,2,  -,  -,4,7,  -,  -,обстоятельства,нет других, -,1,2, -, -,1, -, -,54,87,45,77,66,4,1,4,4,4,1,4,3,4,5,7,,,,3,2,17,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
425,шикарный,дорогой,перспективный,Экономический факультет,7,3,  -, -,2,  -,  -,2,1,  -,  -, -,МАИ,НИО,1,2,3, -,"1,2,5", -, -,68,82,69,87,45,3,2,4,1,5,5,4,1,5,3,4,Зарубежная,международная фирма,,2,1,17,2,2,-,-,4,4,-,-,-,4,2,английский,немецкий,-,3
426,Кантовский, гайефоксовский, джокеровский,Философский факультет,10,5,  -, -,2,  -,  -,2,1,2,  -, -,МГЛУ,прикладная лингвистика,1,2, -, -,1, -, -,72,73,69,78,66,3,1,4,1,1,2,1,1,1,2,8,,,,2,2,17,2,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
427,Интересный,престижный,недоступный,Экономический факультет,10,1,  -, -,2,  -,  -,2,7,  -,  -,сама,нет других, -,6, -, -, -,1.5, -, -,48,92,65,87,63,4,1,4,2,2,1,3,3,1,2,1,,зарубежем,,3,2,18,2,1,-,-,4,4,-,-,-,7,2,английский,французский,-,3
428,Сложный, интересный, уникальный,Филологический факультет,5,3,  -, -,2,  -,  -,4,1,  -,  -, -,РГГУ,филологический,2,6, -, -,1.2, -, -,56,56,66,66,56,2,2,3,1,1,2,1,1,1,3,4,,,,2,3,17,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
429,ИЗВЕСТНЫЙ, ПРЕСТИЖНЫЙ, ИНТЕРЕСНЫЙ,Философский факультет,10,4,  -, -,2,  -,  -,2,1,2,4, -,ИСАА,востоковедение,2,3,5, -,1.5, -, -,60,76,45,97,98,3,3,4,1,1,2,2,1,3,5,9,,,,2,2,17,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,2
430,интересный перспективный современный,,,Экономический факультет,7,"1,2,3",  -,ГМУ,2,  -,  -,2,1,2,5,свое умозаключение,ВШЭ,"ГМУ,менеджмент,социология",1,2,3, -,"1,2,5",4, -,80,67,88,65,56,5,2,3,2,1,1,2,1,2,2,7,калтех,физика элементарныз частиц,решение задач мироздания,1,3,17,1,1,-,-,4,4,-,-,-,5,2,французский,английский,-,3
431,известный, престижный, хороший,Экономический факультет,9,3,  -,не рассматриваю,2,  -,  -,1,1,3,5,личная инициатива,ПГУ,юридический,1,2,3, -, -, -, -,70,86,79,45,90,2,3,1,1,1,3,2,1,1,2,9,администрация президента,юридический советник,консультация,2,2,25,1,2,г.Пенза,-,4,4,-,-,-,5,1,английский,-,-,2
432,Дорогой, красивый, перспективный,Философский факультет,10,3,  -,никакие,2,  -,  -,2,1,2,3,я сама,РГГУ, -,2, -, -, -,1, -, -,40,76,54,88,60,4,1,3,2,1,3,5,1,1,3,10,З.О.,З.О.,не знаю,1,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
433,знаменитый, обустроенный,,Экономический факультет,10,3.5,  -,"социологический,гос. Управление",1,родители,1,2,1,3,5, -,ВШЭ, -,1,2, -, -,4,МГУ, -,56,90,70,77,55,3,1,3,1,1,2,2,1,3,4,8,philip moris,менеджмент,,1,2,18,2,1,-,-,4,4,-,-,-,6,2,английский,французский,-,2
434,государственный,познавательный,интересный,Факультет государственного управления,6,2.3,  -,гос. Управление,2,  -,  -,2,1,2,3, -,ВШЭ,статистика,2, -, -, -,3, -, -,68,98,88,78,65,3,3,2,1,2,4,4,2,2,3,7,,"экономика, статистика",,2,2,17,1,1,-,-,4,4,-,-,-,5,2,английский,французский,-,3
435,Сложно, интересно, увлекательно,Биологический факультет,8,"1,2,3,5,6",  -,госаудит,1,подруги,1,1,1,6,5, -,мгюа, -,1,2,3, -,1.4, -, -,55,95,85,56,91,3,1,3,1,1,3,2,1,1,3,7,ГОСДУМА,,,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
436,престижный, дорогой, желаемый,Экономический факультет,10,6,  -,ВШБ,1,брат,1,5,1,6,3, -,мгу,вшб,1,2, -, -,1, -, -,74,64,70,65,66,5,3,3,1,1,2,4,1,1,1,5,,,,1,2,17,1,1,-,-,4,4,-,-,-,6,2,иврит,английский,-,7
437,,,,Физический факультет,7,3.5,  -, -,2,  -,  -,1,1,6,2, -,вавт,"фэм,фф",1,3,6, -,1.4,вавт, -,72,87,66,80,55,4,1,5,2,1,2,5,1,1,5,10,"Лукойл,ВР,Майкрософт",,,1,1,17,1,1,-,-,4,-,-,-,-,5,1,английский,-,-,3
438,интересный, увлекательный, творческий,Факультет государственного управления,6,2,  -,никакие,2,  -,  -,2,1,2,3, -,плеханова,"финансы,экономический",2, -, -, -,1, -, -,70,84,55,87,66,5,2,3,2,2,1,2,1,1,5,8,З.О.,,,1,3,16,1,1,-,-,5,5,-,-,-,7,1,английский,-,-,1
439,интересный, практичный, денежный,Экономический факультет,7,4,  -,механико-математический,2,  -,  -,1,1,3,5, -,мгту им. Баумана,энергомашиностроение,1,2,6, -,5, -, -,74,73,66,93,66,3,2,2,1,2,2,4,2,3,2,8,престижную фирму,менеджмент,управление,1,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
440,интересный, перспективный, многообразный,Юридический факультет,5,3,  -,"менджмент, ГМУ",2,  -,4,2,1,2,3, -,ВГНА,"экономика, менеджмент",1, -, -, -,4,ГУУ, -,72,70,75,55,55,1,2,3,1,1,1,1,1,1,5,5,,предпринимательство,,3,3,18,1,1,-,-,4,4,-,-,-,7,3,азербайджанский,гусский,немецкий,3
441,интересный, интересный, интересный,Биологический факультет,6,5,  -,социологический,2,  -,4,2,1,2,3, -,МГУ,социологический,2, -, -, -,1, -, -,80,75,75,90,66,1,1,1,1,1,1,1,1,1,1,6,,предпринимательство,,1,3,17,1,1,-,-,4,4,-,-,-,7,2,английский,армянский,-,7
442,интересный, большой, трудный,Биологический факультет,7,7,  -,"ВШБ, ФГУ",2,  -,4,2,1,2,3, -,МГИМО,"МЭО, СО, СМК",2,3,5, -,4,МГИМО, -,44,72,90,89,55,3,2,4,2,1,1,4,2,1,1,8,"ООО ""Машинная русская компания по производству шин""",,,1,3,17,2,1,-,-,4,4,-,-,-,6,1,французский,-,-,3
443,известный, престижный, властный,Экономический факультет,8,3,  -,"ФГУ, ВШБ",2,  -,4,1,1,2,3, -,МГИМО,МЭО,2, -, -, -,1, -, -,70,98,98,79,54,2,1,3,2,1,1,4,1,3,2,6,,банковское дело,,1,2,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
444,Престижный, технический, сложный,Факультет вычислительной математики и кибернетики,8,6,  -,гос. управление,2,  -,4,2,1,3,5, -,ГУУ,менеджмент,2, -, -, -,1, -, -,50,38,40,66,66,3,2,3,1,1,1,2,2,4,5,8,РосПил,,борьба с коррупцией,2,2,17,1,1,-,-,,-,высшее,аспирантура,-,6,2,английский,армянский,-,3
445,престижный, желанный, международный,Факультет государственного управления,7,3,  -,"социологический, лингвистический",2,  -,4,2,1,5,6, -,РУДН,ИМЭБ,2,3,4, -,1, -, -,85,90,57,85,91,2,2,4,2,2,1,2,1,1,2,7,Газпром,главный экономист,,3,2,15,2,1,-,-,3,3,-,-,-,4,1,английский,-,-,3
446,качественный,престижный,,Экономический факультет,1,2,  -,социологический,1,дядя,4,2,1,2,3, -,ФУ при Прав-ве РФ,"финансы и кредит, МЭО",2,3,6, -,4,ФУ при Прав-ве РФ, -,70,90,65,73,55,4,1,4,1,1,2,1,1,1,5,7,,предпринимательство,,2,2,17,2,1,-,-,,-,аспирантура,высшее,-,5,1,английский,-,-,3
447,престижный,интересный,полезный,Экономический факультет,5,3,  -,социологический,1,отец,1,2,3,2,6, -,ВАВТ,"ФЭМ, ФМФ,МПФ",1,2,6, -,1, -, -, -,90, -,93, -,2,3,2,2,2,1,3,1,3,3,5,,экономика,,2,2,18,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
448,Интересный,востребовательный,красивый,Факультет государственного управления,7,3,  -,нет таких,2,  -,4,2,1,5,7,я сама,Фин. университет,"мировая экономика, финансовый менеджмент",1,3,6, -,2, -, -,92,95,95,97,66,5,2,1,4,4,5,1,1,5,1,8,,экономика,,2,2,18,2,2,Тамбов,-,4,4,-,-,-,5,1,английский,-,-,3
449,необычный, полезный, легендарный,Филологический факультет,8,1,  -,социологический,2,  -,4,2,1,2,3, -,ВШЭ,экономика,2,3,6, -,4,ЮФУ, -,72,95,90,82,55,2,3,2,2,2,1,3,2,2,2,8,,банковское дело,,2,2,17,1,2,Аксай,-,4,4,-,-,-,4,1,английский,-,-,3
450,интересный, трудный, престижный,Факультет иностранных языков и регионоведения,7,3,  -,ФМП,1,знакомые,1,1,1,3,6, -,МГУ,ФГУ,2, -, -, -,1, -, -,76,82,78,75,66,3,1,2,1,2,4,5,1,2,3,5,МИД,,,1,3,18,1,1,-,-,4,4,-,-,-,6,2,английский,французский,-,3
451,серьезный, перспективный,лингвистический,Филологический факультет,5,5,  -,никакой,2,  -,  -,2,1,2,3, -,МГЮА,факутьтет права,2, -, -, -,1, -, -,52,82,88,74,84,4,1,4,1,1,1,4,1,1,1,10,Международная юридическая организация,юрист,защищать права,1,2,17,1,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
452,интересный,,,Экономический факультет,9,1,  -,ФГУ,2,  -,  -,1,4,6,  -, -,МГИМО,Мировая политика,2,3,5, -,5, -, -,63,84,90,92,69,4,1,4,1,2,2,5,1,1,1,9,Газпром,юрист,,1,2,17,2,1,-,-,4,4,-,-,-,7,2,английский,испанский,-,2
453,эрудированность, эстетичность, глубина,Филологический факультет,9,5,  -,никакие,2,  -,  -,1,1,  -,  -, -,нет других, -,2, -, -, -,1, -, -,55,90,98,56,93,4,2,1,1,1,3,4,1,4,3,10,,экологический юрист,защищать права животных,2,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
454,Престижный, солидный, желанный,Юридический факультет,10,3,  -,исторический,2,  -,  -,1,1,  -,  -, -,ГУУ,юридический,1, -, -, -,1, -, -,44,76,88,87,93,1,1,1,1,1,1,1,1,1,1,10,Газпром,юрист,,2,2,17,2,1,-,-,4,4,-,-,-,6,3,английский,французский,немецкий,3
455,Сложный, интересный, старый,Химический факультет,1,6,  -,юридический,2,  -,  -,5,3,  -,  -, -,МГУ,юридический,6, -, -, -,7, -, -,66,57,98,69,68,3,2,4,1,1,2,4,1,1,2,5,Государственная Дума,,,3,3,17,1,1,-,-,4,4,-,-,-,4,2,английский,Китайский,-,4
456,престижный, сложный, интересный,Геологический факультет,5,3,  -,"ИСАА, исторический",2,  -,  -,2,1,2,  -, -,МГЛУ,перевод и переводоведение,1,6, -, -,1,4, -,48,84,78,82,77,2,1,3,1,1,1,2,1,1,3,5,,,,3,2,17,1,1,-,-,5,6,-,-,-,5,1,английский,-,-,3
457,новый, биологический, технологический,Факультет биоинженерии и биоинформатики,7,3,  -, -,2,  -,  -,2,  -,  -,  -,собственное желание,ВГНА,юриспруденция,2, -, -, -,1,2, -,50,95,72,55,72,2,5,3,2,1,2,3,2,1,2,7,,недвижимость,,1,2,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
458,Недоступный,престижный,дорогой,Юридический факультет,8,3,  -,глобальных прцессов,2,  -,  -,2,3,  -,  -,личное мнение,РУДИ, -,1,2,5, -,5, -, -,66,84,66,94,77,3,2,3,4,2,1,3,1,3,2,8,,,,2,2,17,1,1,-,-,4,4,-,-,-,3,1,английский,-,-,3
